Session_FinalSessionNumber	Session_Clientid	Session_Title	Slot_Date	 Slot_StartTime	Slot_EndTime	Session_CECredit	Session_Withdrawn	Session_SubTitle	Session_VerificationLevel	Property_Name	Room_Name	Session_Award	Program_Code
PS110	12929	Complications of Radical Pelvic Surgery	10/17/2016	11:30 AM	1:00 PM	1.5	N	From serious intraoperative genitourinary injury to straightforward urinary retention be prepared to deal with anything in the pelvis.		Washington DC Convention Center	144	Y	2016_ps
PS111	12933	Cultivating the Next Generation of Surgeon-Scientists	10/17/2016	11:30 AM	1:00 PM	1.5	N	Significant advances in surgery have been made over the past century largely due to the tireless efforts of surgeon scientists who work at the interface between clinical practice and scientific endeavor. Over the past decade the funding environment combined with increasing clinical demands has created significant obstacles to the success of the aspiring surgeon scientist. This session will focus on strategies to identify support and mentor young surgeon scientists early in their career. Panelist topics: -(Chairman)creating start up packages with protected time dedicated funding and structured mentorship -(Division chief for research): Funding strategies - How I did it (early career scientists): -traditional bench researcher with their own lab -collaborative translational researcher (partnership model) -outcomes researcher		Washington DC Convention Center	202 A	Y	2016_ps
PS112	12967	Hemostatic Resuscitation: Update 2016	10/17/2016	11:30 AM	1:00 PM	1.5	N	Severely injured patients experiencing hemorrhagic shock often require massive transfusion. Earlier transfusion with higher blood product ratios (plasma platelets and red blood cells)has been associated with improved outcomes in some retrospective and prospective cohort studies. The first large multicenter Phase Three randomized clinical trial (PROPPR trial JAMA 2015 Feb3;313(5):471-82) aimed to determine the effectiveness and safety of transfusing patients with severe trauma and major bleeding using plasma platelets and red blood cells in a 1:1:1 ratio vs. a 1:1:2 ratio in severely injured patients who arrived at 12 Level I trauma centers in North America directly from the scene. This session will review data from this important trial and provide additional updates regarding the optimal method for resuscitation of trauma patients with shock.		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS113	12973	Small and Large Bowel Obstruction: Current Management	10/17/2016	11:30 AM	1:00 PM	1.5	N	Acute small and large bowel obstruction remains a common emergency surgical issue. Small bowel obstruction is a management conundrum - who needs urgent intervention and who should be observed? Is routine use of a Gastrograffin small bowel series now routine? Large bowel obstruction has numerous etiologies including colorectal cancer volvulus and diverticular disease. The current techniques for diagnosis and operative and non operative management will be discussed.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS114	12985	Universal Access to Surgery: The Good the Bad and the Ugly	10/17/2016	11:30 AM	1:00 PM	1.5	N	Patient access to high quality surgical care in the U.S. is dependent upon geography surgeon availability and insurance status. As these potential barriers to care are addressed surgeons may experience significantly higher patient demand resulting in longer work hours longer patient wait times for office visits and potential delays to definitive surgery. Limitations on surgeon subspecialty and the types of procedures one can perform and perhaps even rationing of resources may become necessary. This panel discussion will feature surgeons from the U.S. Veterans Health Administration and from several countries with universal health coverage systems who will draw on their experiences to outline approaches to preserving quality and patient satisfaction when economic and other factors no longer restrict patient access to surgical care.		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS115	13017	The Lancet Commission on Global Surgery: Evidence and Solutions for Achieving Health Welfare and Economic Development	10/17/2016	11:30 AM	1:00 PM	1.5	N	Surgical care is a critical component of a comprehensive health care system for all countries at all levels of development. However billions of people lack access to basic surgical services resulting in substantial loss of life welfare and economic output. In order to address the crucial need for improvements delivery of surgical care around the world The Lancet Commission on Global Surgery was launched in January 2014 during a major transition period for global health. The Commissions initial finding and recommendations were published in April 2015. These findings and recommendations will be examined during this panel session in order to generate discussion regarding how U.S. surgeons surgical trainees and the ACS can work with The Commission to help realize universal access to safe affordable surgical and anesthesia care when needed.		Washington DC Convention Center	145	Y	2016_ps
PS116	13033	Acute Surgical Emergencies in Patients with End Stage Liver or Renal Disease or After Transplant	10/17/2016	2:30 PM	4:00 PM	1.5	N	The number of patient with end-stage organ failure or who received an organ transplant is growing. Although most of these patients will ultimately be cared for in tertiary care hospitals they will present to local hospitals with surgical emergencies including hernias appendicitis bowel obstructions or perforated viscus. These patients pose a unique set of challenges for general surgeons. This session will focus on providing acute surgical and critical care management to this population. Particular attention will be paid to the peri- and post-operative management of the immunosuppressed patient including medications and minimizing infections considerations for patients with cirrhosis including management of ascites portal hypertension and coagulopathy and the details of fluid and electrolyte management in patients on dialysis.		Washington DC Convention Center	201	Y	2016_ps
PS117	13035	Contemporary Management of Salivary Gland Disease Sialendoscopy and Beyond	10/17/2016	2:30 PM	4:00 PM	1.5	N	Surgeons are frequently challenged with the timing of surgery for chronic inflammatory conditions of major salivary glands. Traditional therapy has consisted of timely waiting until severity justified surgical excision. New endoscopic ductal technology has evolved in the last decade which permits surgeons to endoscopically visualize the ducts of diseased salivary glands. Furthermore new devices have been developed which allow surgeons to endoscopically ablate or retrieve obstructive ductal pathology. In this panel experts will provide an overview of theses contemporary and therapeutic strategies for chronic salivary disorders. Furthermore video-based cases will be presented to highlight the utility of this new technology.		Washington DC Convention Center	152A	Y	2016_ps
PS118	13037	Ductal Carcinoma in Situ:  Too Little Too Big or Just Right?	10/17/2016	2:30 PM	4:00 PM	1.5	N	The surgical literature and media continue to apparently contradict themselves in regards to the treatment of Ductal Carcinoma In Situ (DCIS). In one report we are over treating this disease but in the next report a lumpectomy and radiation may not be enough. This session will focus on the multidisciplinary management of DCIS in regards to both the absolute and the more controversial indications for different types of radiation the risk of local recurrence in multifocal versus localized DCIS and the role of genomic profiling (Oncotype DX) in regards to treatment. It will discuss how these issues are affecting local control and overall survival. The different imaging modalities and their role in both the work-up and subsequent screening studies will be discussed.		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS119	13039	New Initiates' Program: Celebrating Diversity Recognizing Opportunity and Moving Forward Together	10/17/2016	2:30 PM	4:00 PM	1.5	N	This Young Fellows Association and Resident and Associate Society sponsored initiates program will focus on the surgical career today. The impressively diverse spectrum of surgical practice that exists today that truly allows most with the passion and the thirst to treat surgical disease the privilege to do so. The opportunities moving forward as a group in improving surgical care and reducing local regional and global care surgical burden of disease will also be discussed.		Washington DC Convention Center	152B	Y	2016_ps
PS120	13041	New Models in Surgical Training	10/17/2016	2:30 PM	4:00 PM	1.5	N	The majority of General Surgery residents now pursues post-graduate fellowships in sub-specialty domains of General Surgery or pursues additional broad-based training in General Surgery. Recently the American Board of Surgery approved a concept of shifting to a four plus something model of training which requires terminal training for all finishing residents. This would incorporate fellowship training formally for all General Surgery residents inclusive of those trainees pursuing General Surgery. The American Board of Medical Specialties is also presently considering the willingness to grant formal recognition of fellowship training through its component boards for formal training accredited through non-ACGME pathways.These significant potential changes will alter the landscape of General Surgery and subsequent sub-specialty post-graduate training.This session will explore the potential models of implementation for these proposed changes.		Washington DC Convention Center	150	Y	2016_ps
PS121	13043	Recurrent Inguinal Hernias	10/17/2016	2:30 PM	4:00 PM	1.5	N	Despite the advances in hernia repair technique; the problem of the recurrent inguinal hernia persists. This panel will discuss factors that increase the risk of recurrence and discuss techniques for repair. There will different strategies for repair of recurrent hernias after a laparoscopic repair that will be discussed and techniques for re-repair after open inguinal hernia repairs will be discussed.		Washington DC Convention Center	Hall D	Y	2016_ps
PS122	13045	Rectal Cancer Commission on Cancer Accreditation Panel 2016	10/17/2016	2:30 PM	4:00 PM	1.5	N	This session will discuss why accreditation of rectal cancer centers is needed;1) three decades of European evidence 2) variability in the outcomes of surgery for rectal cancer in the U.S 3) how our radiologists can help us optimize surgical outcomes 4) how our pathologists can help us optimize surgical outcomes and 5) the new Commission on Cancer evidence based standards for accreditation in the perioperative management of rectal cancer.		Washington DC Convention Center	202 B	Y	2016_ps
PS123	13053	Latin America Day	10/17/2016	2:30 PM	5:45 PM	3	N	This session has been divided in two. The first part will be related to bariatric and metabolic surgical procedures their complication and management tips and recommendation for the general surgeon.  The second half directed to how to improve surgery for the difficult gall bladder and frequent encounter common duct problems (stones stenosis injuries) during surgery. Their diagnosis and resolution by minimally invasive surgery the combination with intraoperative endoscopy conversion to open surgery and which procedure to choose etc		Washington DC Convention Center	146 A	N	2016_ps
PS124	13055	Colon Cancer: Advances in Screening and Care	10/17/2016	4:15 PM	5:45 PM	1.5	N	This panel will examine the advances in surgical and adjuvant management of colon cancer. Has management actually improved or has the care of the colon cancer patient remained stagnant. What affect has colonoscopy had on the incidence of colon cancer in the last 20 years?		Washington DC Convention Center	Hall D	Y	2016_ps
PS125	13057	The Gender Gap in Surgery	10/17/2016	4:15 PM	5:45 PM	1.5	N	Despite the societal advances of the past 60 years concerning womens rights disparities still exist for women in all professions including Medicine and Surgery. Women surgeons experience the 'gender gap' in training in the workforce in leadership positions (both academic and community based) and in income (less pay for same work product). Women are taught to 'lean in' 'push back' and 'dare'; to 'break (your) own rules ' and to break the 'glass ceiling.' A panel of four experts representing women in residency private practice academic practice and leadership will explore the 'gender gap' as it exists in our profession with emphasis on: Why do these disparities exist? And as surgeons what is our role for change?		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS126	13069	Getting to the Right Spot: The Role of the Access Surgeon in Spine Surgery	10/17/2016	4:15 PM	5:45 PM	1.5	N	This session will review the various surgical approaches to the spinal column via the thorax retroperiteneum and abdomen. Topics to be reviewed include: 1) risk factors for the development of complications 2) the role of the 'access surgeon' in the preoperative patient selection and 3)goals of the exposures common pitfalls and postoperative management.		Washington DC Convention Center	202 B	Y	2016_ps
PS127	13071	Management of Acute Rib Fractures	10/17/2016	4:15 PM	5:45 PM	1.5	N	New technology and data are emerging on how rib fixation may be beneficial to the treatment of traumatic rib fractures especially in the setting of flail chest and acute mechanical ventilation dependence. This session will review the technology techniques and comparative effectiveness data of rib plating and fixation the indication for their use and the relevant outcomes and cost effectiveness data.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS128	13073	Management of Hereditary Endocrine Syndromes	10/17/2016	4:15 PM	5:45 PM	1.5	N	The importance of recognizing a possible hereditary endocrine syndrome at the time of initial diagnosis is key to the appropriate management of these relatively rare disorders which include multiple endocrine neoplasia I multiple endocrine neoplasia II pheochromocytoma-paraganglioma syndromes hereditary forms of hypercalcemia and familial forms of thyroid cancer. This panel session will highlight pertinent specific points related to the diagnosis and work-up (including genetic counseling and testing) management strategies surgical approaches and follow-up of these diverse clinical syndromes		Washington DC Convention Center	206	Y	2016_ps
PS129	13075	Outpatient Management of Routine Pediatric Surgical Disease: Is it Safe and Feasible?	10/17/2016	4:15 PM	5:45 PM	1.5	N	Current management paradigms of common pediatric surgical issues such as intussusception appendicitis and cholecystitis frequently have patients admitted for at least 23 hours of observation following their interventions. Mounting evidence suggests that these patients may be managed on an outpatient basis. This panel will discuss current approaches to early discharge for these entities in a point counterpoint fashion.		Washington DC Convention Center	201	Y	2016_ps
PS130	13077	Surgeons as Global Health Ambassadors: Implementing Sustainable Change through Diverse and Collaborative Teams	10/17/2016	4:15 PM	5:45 PM	1.5	N	Surgeons are demonstrated leaders in building health care capacity in developing nations throughout the world through strategic relationships philanthropic support and a strong sense of moral rightness. The purpose of this panel discussion will be to feature surgeon leaders in well-developed international partnerships to develop and improve infrastructure for health care. The discussion will both educate surgeons on the global burden of surgical disease and introduce these excellent programs as volunteer opportunities while focusing on the team development necessary for their success. A particular emphasis will be on the role of team member diversity in respects to language proficiency cultural awareness and regional strategic partnerships. Presenters will also reflect on the overall value of cultural exchange in the collaborative process.		Washington DC Convention Center	207B	Y	2016_ps
PS131	13079	Surgical Decision Making in Patients with Intraductal Papillary Mucinous Neoplasms	10/17/2016	4:15 PM	5:45 PM	1.5	N	Intraductal papillary mucinous neoplasms of the pancreas a heterogeneous group of tumors with malignant potential are increasingly recognized in clinical practice. These neoplasms account for approximately 20-50 percent of cystic neoplasms of the pancreas and are the second most common neoplasm of the exocrine pancreas after adenocarcinomas but their natural history is still being elucidated. Therefore management of this entity remains controversial. Moreover patients with this neoplasm are at risk for the development of recurrent tumor in the pancreas and also for the development of extra-pancreatic malignancies. This session will provide an overview of the clinical presentation approach to the diagnostic workup prediction of malignancy indications for surgery extent of surgical resection and surveillance follow-up based on existing evidence-based literature and international guidelines		Washington DC Convention Center	150	Y	2016_ps
PS132	13505	Achieving Zero Preventable Deaths after Injury:  National Academies of Sciences Engineering and Medicine ( NASEM)  Report	10/17/2016	2:30 PM	4:00 PM	1.5	N	This late breaking session will review the major findings in the National Academies of Sciences Engineering and Medicine (NASEM) report released June 2016 and the American College of Surgeons Committee on Trauma response.  This session will include an open panel discussion following the review of the report.		Washington DC Convention Center	Ballroom C	N	2016_ps
PS200	13183	A Night on Emergency General Surgery Call	10/18/2016	8:00 AM	9:30 AM	1.5	N	This fast-paced session will take you through a night on call for emergency general surgery and present complex and challenging emergency general surgery cases discussed by a panel of experts. These expert surgeons will share their experience and expertise in diagnosing and treating the vast array of emergency surgical diseases. Audience Response System will help the audience express their own opinions about care in these challenging patients.		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS201	13185	Cholecystectomy: Choosing the Right Patient for Surgery	10/18/2016	8:00 AM	9:30 AM	1.5	N	Patient selection for cholecystectomy used to be very simple. The patient needed to exhibit classic symptoms of biliary colic with the finding of gallstones on imaging. There is been explosion in the use of nuclear medicine imaging to find patients with functional biliary disease without gallstones. The long-term outcomes of patients who have cholecystectomy for functional disease is unclear and patient selection is not well-defined. There are now patients who have hypo-motile gallbladders and those who have hyperkinetic gallbladders undergoing cholecystectomy. This session will discuss the evidence for defining optimal patient selection in elective management of acalculus cholecystitis.		Washington DC Convention Center	Hall D	Y	2016_ps
PS202	13187	Non-Obstetric Laparoscopy Surgery in Pregnancy	10/18/2016	8:00 AM	9:30 AM	1.5	N	Approximately two percent of pregnant women undergo surgery at some point during gestation. The advantages of laparoscopic surgery are similar for pregnant and non-pregnant women; nevertheless this procedure has been underutilized during pregnancy due to concerns of harming the fetus. This presentation will address different aspects involving laparoscopic surgery during pregnancy including videos of real cases with aim to overcome this gap and show the safety and feasibility of this approach. Perioperative prerequisites appropriate imaging and anesthesia considerations will be covered.		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS203	13189	Novel Anticoagulants: Appropriate Uses and Issues in Reversal	10/18/2016	8:00 AM	9:30 AM	1.5	N	New novel oral anticoagulants (NOACs) are increasing being used particularly in elderly patients who are susceptible to trauma. This session will review the current NOACs in clinical use and provide an update regarding optimal use in acute care surgery patients. More importantly optimal methods for laboratory testing and evidence-based protocols for prompt reversal of NOACs in bleeding patients will be reviewed so that cessation of hemorrhage can be optimized in these challenging patients. There is significant evidence to suggest that rapid recognition and reversal of anticoagulation in patients with traumatic injury can improve mortality. A multicenter prospective observational AAST study is ongoing to identify the injury patterns reversal strategies and outcomes among patients taking novel oral anticoagulants.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS204	13191	The Multidisciplinary Care of the Neurotrauma Patient	10/18/2016	8:00 AM	9:30 AM	1.5	N	The management of the neurotrauma patient can be controversial. With the many organ systems that can be affected with injuries to the head and neck as well as the nuances of care in adult spine injury and geriatric patients. This first multispecialty combined symposium will provide attendees the evidence-based data on the complex care of the neurotrauma patient. A series of treatment algorithms will be presented and further developed during the panel discussions will; 1) Describe recent controversies and algorithms for the management of anticoagulants in the head injury patient 2) Describe the treatment options for the patients sustaining spine injury in polytrauma 3) Describe specific challenges in the management of the geriatric patient in neurotrauma and 4) Describe palliative care in the setting of head and spine trauma		Washington DC Convention Center	207B	Y	2016_ps
PS205	13193	The Role of Simulation in Training Education and Maintenance of Certification in Pediatric Surgery	10/18/2016	8:00 AM	9:30 AM	1.5	N	The practicalities of developing relevant simulation modules that may be used for surgical training education and the issues surrounding the use of simulation for MOC in pediatric surgery will be the highlights of this session. In addition topics such as the role of simulation in the proctoring of surgeons early in practice and in the development of new skills for the practicing surgeon will be discussed. This session will be of interest to surgeons in all walks of practice		Washington DC Convention Center	152B	Y	2016_ps
PS206	13195	Understanding Diversity Navigating Bias	10/18/2016	8:00 AM	9:30 AM	1.5	N	Whether dealing with patients staff colleagues or associates diversity is embraced. We can rationalize our differences. Bias however is an emotional reaction that we have been remiss to outwardly acknowledge. This lecture explores the differences between diversity and bias and provides insight into creating strategies to deal with both		Washington DC Convention Center	202 B	Y	2016_ps
PS207	13197	Surgical Jeopardy	10/18/2016	8:00 AM	11:15 AM	3	N	Adopted from the popular television game show this program offers teams of residents the chance to showcase their surgical knowledge by competing to answer surgical questions		Washington DC Convention Center	145	N	2016_ps
PS208	13199	Controversies in Barrett's Esophagus	10/18/2016	9:45 AM	11:15 AM	1.5	N	As the incidence of esophageal adenocarcinoma rises the importance of Barrett's esophagus as a contributing factor requires increased scrutiny. This multidisciplinary panel will address the relationship between esophageal reflux Barrett's esophagus and cancer current management strategies surgical and non-surgical treatment and outcome standards. The biology and pathology of Barrett's esophagus will be discussed along with guidelines for interpreting pathology reports on biopsies done for surveillance. Does surveillance have value and if so who will benefit and how should it be done? What is the place of anti-reflux surgery in management of Barrett's esophagus? What are the newest methods of endoscopic and minimally invasive management? When and how surgery can benefit Barrett patients?		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS209	13201	Incisional Hernia: Prevention and Treatment	10/18/2016	9:45 AM	11:15 AM	1.5	N	Incisional hernias are a distressingly common consequence of abdominal operations - especially those performed through midline incisions. There are new techniques being proposed to prevent incisional hernia development. There are suture techniques with bite size and distance between bites that are promising and there are proposals for using prophylactic mesh placement. This session will discuss these new techniques assess the available evidence for their adoption and raise awareness of this common late complication of laparotomy.		Washington DC Convention Center	Hall D	Y	2016_ps
PS210	13203	Introducing New Technologies in the Operating Room	10/18/2016	9:45 AM	11:15 AM	1.5	N	New technologies are part and parcel of surgery. This panel will review the selection implementation credentialing and regulatory oversight of new technologies. The session will focus on new technologies of different types: novel very new licensed for market sale and existing but complex technologies.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS211	13205	Pediatric Pancreatic Trauma: To Operate or Not to Operate: That is the Question	10/18/2016	9:45 AM	11:15 AM	1.5	N	This  session will focus upon the controversies surrounding the optimal management of pediatric pancreatic trauma. Evidence regarding the timing of surgical intervention and technical issues versus non-operative management will be presented. This subject will be discussed in a point / counterpoint panel discussion. The panel will have interest to General Acute Care / Trauma and Pediatric Surgeons.		Washington DC Convention Center	146 A	Y	2016_ps
PS212	13207	Peri-Operative Calcium Treatment after Thyroid and Parathyroid Surgery	10/18/2016	9:45 AM	11:15 AM	1.5	N	Both thyroidectomy and parathyroidectomy have established rates of temporary and permanent hypocalcemia after surgery. Many therapeutic strategies exist to manage patient calcium levels after surgery. In this panel experts will review published guidelines for the management of peri-operative calcium levels. More specifically the value of pre-operative vitamin and calcium therapy will be discussed. Furthermore intra-operative rapid parathyroid hormone assay levels will be discussed as a predictor of post-operative outcomes and how these levels may influence post-operative calcium management. Finally cases will be presented to outline scenarios where thoughtful calcium management may prevent hypocalcemia complications.		Washington DC Convention Center	202 A	Y	2016_ps
PS213	13211	Unique Challenges of Surgical Care in Native American Communities	10/18/2016	9:45 AM	11:15 AM	1.5	N	This Panel will present data on the surgical diseases that most commonly affect the Native American community. The challenges of rural isolation limited specialty care and the need for regionalization will be reviewed. Experience with the surgical management of these diseases will be discussed by those serving within these communities.		Washington DC Convention Center	202 B	Y	2016_ps
PS214	13217	Venous Thromboembolic Disease: Contemporary Diagnosis and Therapy	10/18/2016	9:45 AM	11:15 AM	1.5	N	Venous thromboembolic disease is of growing significance leading to morbidity and mortality as well as financial burden and increasing regulatory scrutiny as a quality measure for physicians and hospitals. This session will discuss the recent progress in the diagnosis and treatment of both acute and chronic deep vein thrombosis ( DVT)/pulmonary embolism (PE) including after injury and major surgery. A practical approach to prophylaxis screening diagnosis and treatment will be provided including discussion of new oral anticoagulants. Complex issues such as mechanical vena cava interruption and anticoagulation in high risk patients will be discussed including the role of thrombolysis and surgery. Advanced topics will include the use of ultrasound-assisted thrombolysis for submassive PE as well as the role of thrombolysis and stenting for acute proximal ilio-femoral thrombosis.		Washington DC Convention Center	150	Y	2016_ps
PS215	13221	Transgender Surgery: Management of the Transgender Patient	10/18/2016	9:45 AM	11:15 AM	1.5	N	The public and insurance companies are becoming more accepting of transgender surgery. This panel will not only explore the surgical options but the need for psychological review preparation and the team necessary to take care of these patients		Washington DC Convention Center	152B	Y	2016_ps
PS216	13251	Childhood Surgical Conditions: Transitions to Long Term Care and Adult Providers	10/18/2016	12:45 PM	2:15 PM	1.5	N	Numerous congenital conditions require a transition of care to adult providers for long term issues. This session will explore the transition of care discussing thoracic anomalies (congenital diaphragmatic hernia and esophageal atresia) anomalies of rotation colorectal anomalies (Hirschsprung Disease and anorectal malformations) inflammatory bowel disease vascular malformations childhood cancers and ovarian and gynecologic conditions. Ideal ages and methods for transition of care will be explored addressing the particular psychosocial needs of patients and families with long-standing pediatric care. We will also address some of the legislative insurance and financial aspects related to transitional care. This session is aimed at General Colorectal and Gynecologic Surgeons.		Washington DC Convention Center	207B	Y	2016_ps
PS217	13255	How to Introduce New Technology and Advanced Procedures into a Cardiothoracic Surgery Practice	10/18/2016	12:45 PM	2:15 PM	1.5	N	All of the following technologies have been rapidly introduced across the globe; 1) Robotic cardiothoracic surgery 2) complex endoscopic techniques and 3) catheter delivery of cardiac valve. How does the practicing surgeon safely introduce these new technologies into their practice? This session will review how a surgeon can implement these new modalities safely in their practice and will discuss what should be done at the hospital level including the nuances of credentialing and privileging discussions with the patient proctoring and mentorship and how to engage and team with multidisciplinary partners.		Washington DC Convention Center	102	Y	2016_ps
PS218	13257	Lumps Bumps and Sarcomas: The Aftermath of the Unplanned Sarcoma Excision and How to Avoid It	10/18/2016	12:45 PM	2:15 PM	1.5	N	Quality and efficient care of sarcomas is compromised by their rarity. One third of all sarcomas are incompletely excised in an unplanned excision and then referred to a sarcoma center for further care. This incurs additional surgery for the patient a higher risk of local recurrence and carries a significant financial burden. This also puts the surgeon at medicolegal risk for delay in diagnosis and preventable loss of function.		Washington DC Convention Center	Ballroom C	Y	2016_ps
PS219	13259	To Prep or Not to Prep: Understanding the Data on Bowel Preparation for Elective Colon Resection	10/18/2016	12:45 PM	2:15 PM	1.5	N	Whether or not to perform a mechanical bowel preparation oral antibiotic bowel preparation or both preparations prior to elective colon operations is a confusing question. As recently as 20-30 years ago it might have been considered malpractice not to prep patients for colorectal resections. Later data suggested that bowel preparation was unnecessary and possibly even harmful. Now the pendulum might be swinging the other way again as more recent data show decrease wound infection rates with bowel prep. This panel will discuss the history of bowel preparation for elective colorectal resections and try to make sense of some conflicting and confusing data. After this discussion participants will have a clearer understanding of the risks and benefits for their patients.		Washington DC Convention Center	Hall D	Y	2016_ps
PS220	13261	Management of Recurrent Gastrointestinal Stromal Tumors in the Era of Multidisciplinary Care	10/18/2016	12:45 PM	2:15 PM	1.5	N	Gastrointestinal (GI) Stromal Tumors the most common mesenchymal tumor of the (GI) tract are often managed by the general surgeon. Their behavior is difficult to predict based on histology and complete resection remains the cornerstone of treatment. Up to 50 percent of patients develop recurrences (median time to recurrence of two years). Tyrosine kinase inhibitor use has improved outcomes although a majority will eventually develop clinical resistance and progress. Treatment of these tumors has therefore become increasingly complex as knowledge of the genetic alterations responsible for tumor biology accumulates. This session will provide an overview of the epidemiology of these tumors diagnostic workup principles of surgical treatment options and the integration of neoadjuvant adjuvant and salvage therapies in the management of these patients		Washington DC Convention Center	202 A	Y	2016_ps
PS221	13263	Who's on Call: Surgical Workforce Needs for the Next 25 Years	10/18/2016	12:45 PM	2:15 PM	1.5	N	The burden of call is an increasingly complex issue for surgeons and hospitals. In this Panel Session surgical workforce data will be reviewed and the following issues will be discussed:1) Is there a shortage of general surgeons now? 2) Is there a shortage of surgeons or a mal-distribution of surgeons? 3) Is our nation producing the right number of general surgeons and specialty surgeons for now and for the future? 4) What are the surgical workforce needs and on-call issues in an urban setting both now and in the future? 5) What are the surgical workforce needs and on-call issues in a rural setting both now and in the future? and 6) Can an Acute Care General Surgery service solve surgical workforce needs and on-call issues?		Washington DC Convention Center	Ballroom B	Y	2016_ps
PS222	13265	Update on Tracheotomy-Techniques Pitfalls Complications and Safe Care at Home	10/18/2016	12:45 PM	2:15 PM	1.5	N	Tracheostomy procedures are common and performed by multiple specialties. This session will review the comparative findings and methods on open surgical versus dilatational percutaneous tracheotomy. Avoiding complications will include team prep tube type securement managing pain secretions and decanulation. The incidence prevention and management of iatrogenic stenosis will include a team approach to the tracheostomy patient. Lastly the new ACS Tracheostomy Home Skills Training and Validation Program will be presented including the impact on readmissions cost complication rate and satisfaction scores.		Washington DC Convention Center	202 B	Y	2016_ps
PS223	13269	Association of Program Directors in Surgery (APDS) Panels	10/18/2016	12:45 PM	5:00 PM	3	N	The Association of Program Directors in Surgery (APDS) presents two panels on key issues in surgery resident education.  The first panel is titled: Confidence getting comfortable with the state of being uncomfortable. The second panel is titled: The Role of the Program Director in Faculty Development. Panels will include talks by expert speakers as well as a panel discussion.The annual APDS Business Meeting will follow the Panel Session from 4:15 to 5:00 pm.		Washington DC Convention Center	150	N	2016_ps
PS224	13271	Acute Pancreatitis: What's New and What's Changing?	10/18/2016	2:30 PM	4:00 PM	1.5	N	Acute pancreatitis is a common and challenging disease frequently managed by general surgeons. The urgent treatment decisions are evolving - when to operate in gallstone pancreatitis is always a tough timing decision. Whether or not operate in severe pancreatitis remains controversial. This panel will discuss the treatment decisions and proper interventions in this complex disease.		Washington DC Convention Center	Hall D	Y	2016_ps
PS225	13275	Breast Cancer: Genetics Risk Assessment and Genome Profiling	10/18/2016	2:30 PM	4:00 PM	1.5	N	This session will review the new guidelines regarding breast cancer risk assessment and genetic mutation testing. In addition to breast cancer susceptibility gene (BRCA) mutation testing it will also discuss the newer multi-gene panels and indications for their use. Management of the mutation results in regards to surgical decision making and how to incorporate the identification testing and treatment into the surgeons practice will be discussed		Washington DC Convention Center	Ballroom A	Y	2016_ps
PS226	13277	Chest Wall Injuries: Innovative Approaches and Management	10/18/2016	2:30 PM	4:00 PM	1.5	N	Thoracic injuries are extremely common following blunt trauma. New and innovative approaches to management of rib fractures and flail chest (operative fixation) sternal fractures hemothorax drainage with 14 French pigtail catheters and early video-assisted thoracic surgery (VATS) will be discussed. This session will review specific technical options for surgical management of rib and sternal fractures (absorbable vs. non-absorbable plates) appropriate patient/injury indications for rib and sternal fracture fixation data regarding optimal use of low-profile 14-French pigtail catheters for hemothorax/pneumothorax and VATS indications.		Washington DC Convention Center	143 BC	Y	2016_ps
PS227	13279	Hemodialysis Access	10/18/2016	2:30 PM	4:00 PM	1.5	N	This session will address the optimal workup and algorithm of patients needing access for hemodialysis the role of fistulae and grafts alternative strategies for difficulty access including lower extremity and central catheters how to avoid and manage steal syndrome how to manage central stenosis and arm swelling and how to manage access thrombosis		Washington DC Convention Center	140	Y	2016_ps
PS228	13281	Human Genomics and Personalized Medicine in Surgical Practice	10/18/2016	2:30 PM	4:00 PM	1.5	N	Major breakthroughs have occurred in human genomics over the last decade. Tools are now available to determine prognosis and predict response to therapy in oncology. In addition to mutations in the tumor germline genomics are being pursued to understand pharmacogenetics of therapeutics in an individual patient. As technology has advanced ethical social and legal issues have emerged that continue to shape the field. The Cancer Genome Atlas has used high-throughput genome sequencing to identify changes in DNA sequences associated with specific types of cancer. Newer technologies have emerged including sequencing of cell-free plasma DNA. This session explores available technologies for cancer diagnosis and treatment implementation of genetic information into practice and discussion of economics and policy of personalized medicine.		Washington DC Convention Center	202 A	Y	2016_ps
PS229	13285	Principles of Leadership for the Young Surgeon	10/18/2016	2:30 PM	4:00 PM	1.5	N	As surgeons we are leaders in the operating room in the clinic and even in the hospital without ever needing a title. This panel will help young surgeons develop basic leadership awareness and position themselves to become leaders even before they have an official title.		Washington DC Convention Center	Ballroom C	Y	2016_ps
